Name,Quadrant,Ring,Link,Moved,Description,Tags,Downloads,Forks,Activity Metric,Languages
COG,Standards,Adopt,https://github.com/opengeospatial/CloudOptimizedGeoTIFF,0,Cloud Optimized GeoTIFF standard/layout enabling HTTP range requests and partial reads.,"[""Data management"", ""Remote sensing analysis""]",0,0,0,{}
COPC,Standards,Adopt,https://github.com/copcio/copcio.github.io,0,Cloud Optimized Point Cloud format enabling range-readable access to point clouds.,"[""Data management"", ""3D modeling"", ""Remote sensing analysis""]",0,0,0,{}
dask,Intelligence,Adopt,https://www.dask.org/,0,Parallel and distributed computing framework for scaling Python analytics; commonly paired with Xarray for EO workloads.,"[""Core Library"", ""Data management"", ""Pangeo""]",0,0,0,{}
Earth Co-pilot,Intelligence,Assess,https://github.com/microsoft/Earth-Copilot,0,AI-powered geospatial application that allows exploration and visualization of Earth science data using natural-language queries.,"[""Platform"", ""Web-Tools""]",0,0,0,{}
Earth on AWS,Data,Trial,https://aws.amazon.com/earth/,0,Program and registry for discovering open geospatial datasets hosted on AWS.,"[""Data Repository""]",0,0,0,{}
gdal,CORE,Core,https://gdal.org/,0,Foundational geospatial I/O and processing library for raster and vector formats; underpins many EO and GIS tools.,"[""Core Library"", ""Data management"", ""Geocoding and georeferencing"", ""Remote sensing analysis""]",0,0,0,{}
Geospatial Foundation Models & Vision Transformers,Intelligence,Assess,https://arxiv.org/search/?query=geospatial+foundation+model+vision+transformer&searchtype=all,0,Large pretrained EO/remote-sensing models (often ViT-based) that learn transferable representations for multiple EO tasks.,"[""Techniques"", ""Remote sensing analysis""]",0,0,0,{}
GeoZarr,Standards,Assess,https://github.com/zarr-developers/geozarr-spec,0,Geospatial conventions for storing multidimensional georeferenced grids using Zarr; defines metadata patterns for EO data cubes.,"[""Data management"", ""Remote sensing analysis"", ""Pangeo""]",0,0,0,{}
hdf5,Standards,Adopt,https://www.hdfgroup.org/solutions/hdf5/,0,Scientific data model and file format for storing large array-based datasets; common in EO archives.,"[""Data management""]",0,0,0,{}
Hyperspectral,Data,Assess,https://en.wikipedia.org/wiki/Hyperspectral_imaging,0,EO data modality with many contiguous spectral bands enabling material/biophysical inference beyond multispectral imagery.,"[""Remote sensing analysis""]",0,0,0,{}
Lidar,Data,Adopt,https://www.ngs.noaa.gov/INFO/facts/lidar.shtml,0,"Laser based active remote sensing producing 3D point clouds used for terrain, canopy, and infrastructure modeling.","[""Remote sensing analysis"", ""3D modeling""]",0,0,0,{}
Multi-sensor Geospatial Foundation Models,Intelligence,Assess,https://github.com/NASA-IMPACT/Prithvi-EO-2.0,0,Foundation models trained across sensors/modalities for transferable EO representations.,"[""Techniques"", ""Remote sensing analysis""]",0,0,0,{}
netcdf,Standards,Adopt,https://www.unidata.ucar.edu/software/netcdf/,0,Self-describing scientific data format and libraries for array-oriented geoscience data; common for EO/climate gridded products.,"[""Data management""]",0,0,0,{}
NiSAR,Data,Adopt,https://science.nasa.gov/mission/nisar/mission-overview/,0,"NASA–ISRO Synthetic Aperture Radar mission providing global L- and S-band SAR observations for surface change, hazards, ice, and biomass studies.","[""Remote sensing analysis""]",0,0,0,{}
openEO,Standards,Assess,https://github.com/Open-EO/openeo-api,0,Open API specification for EO processing across interoperable backends.,"[""Platform"", ""Data management""]",0,0,0,{}
