Name,Quadrant,Ring,Link,Moved,Description,Tags,Downloads,Forks,Activity Metric,Languages
Astropy,CORE,Core,https://github.com/astropy/astropy,0,"Community core Python library for astronomy/astrophysics (coordinates, time, units, tables), widely used in space observation pipelines.","[""Core Library"", ""Techniques"", ""Spatial analysis""]",0,0,0,"{""Python"": 1}"
Astroquery,CORE,Core,https://github.com/astropy/astroquery,0,Astropy-affiliated Python package providing a consistent interface for querying and retrieving data from many online astronomy/planetary archives and services.,"[""Core Library"", ""Data management"", ""Techniques""]",0,0,0,"{""Python"": 1}"
SPICE Toolkit (NAIF),CORE,Core,https://naif.jpl.nasa.gov/naif/toolkit.html,0,"NASA/NAIF SPICE Toolkit: core geometry, time, reference frame, and ephemeris APIs used across planetary missions and science workflows.","[""Core Library"", ""Techniques"", ""Geocoding and georeferencing""]",0,0,0,"{""C"": 1}"
SunPy,CORE,Core,https://github.com/sunpy/sunpy,0,"Open-source solar physics Python environment for searching, downloading, and analyzing solar observation data (maps, time series, solar coordinate frames).","[""Core Library"", ""Remote sensing analysis"", ""Techniques""]",0,0,0,"{""Python"": 1}"
Ames Stereo Pipeline (ASP),Intelligence,Adopt,https://github.com/NeoGeographyToolkit/StereoPipeline,0,Open-source stereogrammetry and geodesy toolkit to produce DTMs/DEMs and other cartographic products from planetary stereo imagery.,"[""Remote sensing analysis"", ""3D modeling"", ""Techniques""]",0,0,0,"{""C++"": 1}"
CFITSIO,Intelligence,Adopt,https://github.com/HEASARC/cfitsio,0,C/Fortran library for reading and writing FITS files; widely embedded in astronomy data systems and toolchains.,"[""Core Library"", ""Data management""]",0,0,0,"{""C"": 2}"
GMAT,Intelligence,Adopt,https://sourceforge.net/projects/gmat/,0,"NASA’s open-source General Mission Analysis Tool for mission design, trajectory analysis, and navigation trade studies.","[""Platform"", ""Techniques""]",0,0,0,"{""C++"": 1}"
ISIS3,Intelligence,Adopt,https://github.com/DOI-USGS/ISIS3,0,"USGS Astrogeology’s planetary image processing suite for ingesting, calibrating, mapping, and analyzing mission imagery.","[""Remote sensing analysis"", ""Techniques""]",0,0,0,"{""C++"": 1}"
Orekit,Intelligence,Adopt,https://github.com/CS-SI/Orekit,0,"Low-level space flight dynamics library (orbits, frames, propagation, OD building blocks) for studies through operations.","[""Core Library"", ""Techniques""]",0,0,0,"{""Java"": 1}"
PDS4 Tools,Intelligence,Adopt,https://github.com/Small-Bodies-Node/pds4_tools,0,"Python package (with GUI components) for reading, inspecting, and visualizing NASA PDS4 data and metadata.","[""Data management"", ""Techniques"", ""Desktop""]",0,0,0,"{""Python"": 1}"
Photutils,Intelligence,Adopt,https://github.com/astropy/photutils,0,"Astropy coordinated package for source detection and photometry on astronomical imagery (aperture/PSF photometry, segmentation, background estimation).","[""Spatial analysis"", ""Techniques""]",0,0,0,"{""Python"": 1}"
Skyfield,Intelligence,Adopt,https://github.com/skyfielders/python-skyfield,0,Pure-Python high-precision ephemerides and position computations for planets and Earth satellites; integrates with Astropy units/time.,"[""Geocoding and georeferencing"", ""Techniques""]",0,0,0,"{""Python"": 1}"
Specutils,Intelligence,Adopt,https://github.com/astropy/specutils,0,"Astropy coordinated package for representing, loading, and analyzing astronomical spectra; a shared toolbox for spectroscopy workflows.","[""Data management"", ""Techniques""]",0,0,0,"{""Python"": 1}"
SpiceyPy,Intelligence,Adopt,https://github.com/AndrewAnnex/SpiceyPy,0,"Python wrapper around the SPICE Toolkit, enabling planetary geometry and event-finding workflows in Python.","[""Core Library"", ""Techniques""]",0,0,0,"{""Python"": 1}"
TudatPy,Intelligence,Trial,https://github.com/tudat-team/tudatpy,0,"Python platform for astrodynamics analysis (propagation, estimation, mission design) built on Tudat with examples and docs.","[""Platform"", ""Techniques""]",0,0,0,"{""Python"": 1}"
astroplan,Intelligence,Adopt,https://github.com/astropy/astroplan,0,"Astropy affiliated observation-planning toolkit (visibility windows, constraints, scheduling helpers).","[""Techniques"", ""Geocoding and georeferencing""]",0,0,0,"{""Python"": 1}"
ccdproc,Intelligence,Adopt,https://github.com/astropy/ccdproc,0,Astropy affiliated package for basic CCD image reduction with error propagation and bad-pixel tracking.,"[""Techniques"", ""Data management""]",0,0,0,"{""Python"": 1}"
healpy,Intelligence,Adopt,https://github.com/healpy/healpy,0,"Python tools for HEALPix maps, widely used for spherical mapping/analysis in astronomy and cosmology.","[""Spatial analysis"", ""Techniques""]",0,0,0,"{""Python"": 1}"
poliastro,Intelligence,Trial,https://github.com/poliastro/poliastro,0,Pure-Python astrodynamics and orbital mechanics library focused on interactive workflows and fast iteration.,"[""Core Library"", ""Techniques""]",0,0,0,"{""Python"": 1}"
regions,Intelligence,Adopt,https://github.com/astropy/regions,0,Astropy coordinated package for region handling (spatial regions on images/cubes; interoperability for masks/footprints).,"[""Data management"", ""Spatial analysis""]",0,0,0,"{""Python"": 1}"
reproject,Intelligence,Adopt,https://github.com/astropy/reproject,0,Astropy package for reprojecting astronomical images between world coordinate systems (interpolation/adaptive/exact overlap; includes HEALPix support).,"[""Geocoding and georeferencing"", ""Spatial analysis"", ""Techniques""]",0,0,0,"{""Python"": 1}"
ESA Planetary Science Archive (PSA),Data,Adopt,https://psa.esa.int/,0,"ESA’s central repository for Solar System mission data, distributed in PDS standards for open access and interoperability.","[""Data Repository"", ""Data management""]",0,0,0,{}
NASA Planetary Data System (PDS),Data,Adopt,https://pds.nasa.gov/,0,"NASA’s long-term open archive for planetary mission data products, curated for preservation and reuse.","[""Data Repository"", ""Data management""]",0,0,0,{}
FITS Standard,Standards,Adopt,https://fits.gsfc.nasa.gov/fits_standard.html,0,"The formal standard defining the Flexible Image Transport System (FITS), a dominant format for astronomy data transport and archiving.","[""Data management""]",0,0,0,{}
PDS4 Information Model,Standards,Adopt,https://github.com/NASA-PDS/pds4-information-model,0,Open tooling and artifacts (incl. ontology/model) used to generate and maintain the PDS4 information model.,"[""Data management""]",0,0,0,"{""Java"": 1}"
PDS4 Standards Reference,Standards,Adopt,https://pds.nasa.gov/datastandards/documents/sr/,0,Primary reference for the PDS4 standard defining structures and rules for planetary data products and labels.,"[""Data management""]",0,0,0,{}
