Name,Quadrant,Ring,Link,Moved,Description,Tags,Downloads,Forks,Activity Metric,Languages
Python,CORE,Core,https://www.python.org/,0,"Primary language across EO ingestion, analytics, and production model workflows.","[""Core Library"", ""Server-Side""]",0,0,0,"{""Python"": 1}"
GDAL + PROJ,CORE,Core,https://gdal.org/,0,Foundational geospatial I/O and coordinate transformation stack for raster and vector processing.,"[""Core Library"", ""Geocoding and georeferencing"", ""Spatial analysis""]",0,0,0,"{""C"": 1}"
PostgreSQL + PostGIS,CORE,Core,https://postgis.net/,0,Core transactional and spatial query layer that underpins many EO products and APIs.,"[""Database"", ""Server-Side"", ""Data management""]",0,0,0,"{""C"": 1}"
S3-Compatible Object Storage,CORE,Core,https://aws.amazon.com/s3/,0,Baseline storage contract for cloud-native geospatial data lakes and tile assets.,"[""Data Repository"", ""Data management"", ""Server-Side""]",0,0,0,{}
GeoPandas,CORE,Core,https://geopandas.org/,0,Core dataframe API for vector processing and geospatial data engineering.,"[""Core Library"", ""Spatial analysis""]",0,0,0,"{""Python"": 1}"
Rasterio,CORE,Core,https://rasterio.readthedocs.io/,0,Standard raster read/write and windowed access library in Python EO pipelines.,"[""Core Library"", ""Remote sensing analysis""]",0,0,0,"{""Python"": 1}"
Xarray,CORE,Core,https://xarray.dev/,0,Default multidimensional model for time-series and gridded EO analysis.,"[""Core Library"", ""Pangeo"", ""Data management""]",0,0,0,"{""Python"": 1}"
Dask,CORE,Core,https://www.dask.org/,0,Parallel execution backbone for scaling EO preprocessing and analytics workloads.,"[""Core Library"", ""Pangeo"", ""Server-Side""]",0,0,0,"{""Python"": 1}"
Apache Parquet,CORE,Core,https://parquet.apache.org/,0,Columnar storage baseline for high-volume geospatial tabular data.,"[""Data Repository"", ""Data management"", ""Core Library""]",0,0,0,{}
JupyterLab,CORE,Core,https://jupyter.org/,0,"Primary interactive workspace for geospatial exploration, notebooks, and review.","[""Platform"", ""Desktop"", ""Pangeo""]",0,0,0,{}
QGIS,Mapping,Adopt,https://qgis.org/,0,"Default desktop GIS for spatial editing, QA, and analyst workflows.","[""Desktop"", ""Cartography and visualisation"", ""Spatial analysis""]",0,0,0,"{""C"": 1}"
DuckDB + Spatial,Mapping,Adopt,https://duckdb.org/docs/stable/core_extensions/spatial/overview.html,1,Fast local analytics on parquet and geospatial data with minimal setup.,"[""Database"", ""Spatial analysis"", ""Desktop""]",0,0,0,{}
TiTiler,Mapping,Trial,https://developmentseed.org/titiler/,1,Dynamic tile serving for raster assets and cloud-native imagery.,"[""Server-Side"", ""Web-Tools"", ""Remote sensing analysis""]",0,0,0,{}
Polars,Mapping,Trial,https://pola.rs/,0,High-performance DataFrame processing for geospatial ETL support.,"[""Core Library"", ""Data management"", ""Server-Side""]",0,0,0,{}
Custom WebGL Terrain Pipelines,Mapping,Assess,https://deck.gl/,0,"Promising for advanced rendering, but complexity is still high.","[""Web-Tools"", ""3D modeling"", ""Cartography and visualisation""]",0,0,0,{}
Human-in-the-Loop QA,Intelligence,Adopt,https://en.wikipedia.org/wiki/Human-in-the-loop,0,Critical review checkpoints before production release of new detections.,"[""Techniques"", ""Data management"", ""Mobile data collection""]",0,0,0,{}
Active Learning for Labeling,Intelligence,Trial,https://en.wikipedia.org/wiki/Active_learning_(machine_learning),1,Use model uncertainty to prioritize human review and reduce labeling costs.,"[""Techniques"", ""Data management"", ""Remote sensing analysis""]",0,0,0,{}
Edge Inference for EO,Intelligence,Assess,https://www.tensorflow.org/lite,0,"Early-stage experiments for low-latency, low-bandwidth deployments.","[""Techniques"", ""Mobile"", ""Remote sensing analysis""]",0,0,0,{}
Semantic Search on Embeddings,Intelligence,Assess,https://www.sbert.net/examples/applications/semantic-search/README.html,1,Supports cross-region similarity queries over EO features and annotations.,"[""Techniques"", ""Data management"", ""Server-Side""]",0,0,0,{}
Rule-Only Change Detection,Intelligence,Hold,https://en.wikipedia.org/wiki/Change_detection,-1,Too brittle alone; use in combination with learning-based methods.,"[""Techniques"", ""Remote sensing analysis""]",0,0,0,{}
Cloud Optimized GeoTIFF (COG),Data,Adopt,https://www.cogeo.org/,0,Primary raster format for cloud access and selective reads.,"[""Data Repository"", ""Remote sensing analysis""]",0,0,0,{}
OpenStreetMap,Data,Adopt,https://www.openstreetmap.org/,0,"Core baseline dataset for roads, places, and contextual mapping layers.","[""Data Repository"", ""Cartography and visualisation"", ""Geocoding and georeferencing"", ""Mobile data collection""]",0,0,0,{}
GeoParquet,Data,Trial,https://geoparquet.org/,1,Preferred columnar format for vector analytics and lakehouse storage.,"[""Data Repository"", ""Data management"", ""Spatial analysis""]",0,0,0,{}
Synthetic Training Data,Data,Assess,https://en.wikipedia.org/wiki/Synthetic_data,1,"Useful for augmentation, but realism and bias controls need care.","[""Data management"", ""Remote sensing analysis"", ""Techniques""]",0,0,0,{}
Heavy Shapefile Archives,Data,Hold,https://en.wikipedia.org/wiki/Shapefile,-1,Legacy interchange format kept only where backward compatibility is required.,"[""Data management"", ""Spatial analysis""]",0,0,0,{}
STAC API,Standards,Adopt,https://api.stacspec.org/v1.0.0/,1,Default interface for searchable geospatial catalogs and metadata discovery.,"[""Data management"", ""Data Repository"", ""Platform""]",0,0,0,"{""JavaScript"": 1}"
OGC API - Features,Standards,Trial,https://ogcapi.ogc.org/features/,1,Modern replacement path for feature services where interoperability matters.,"[""Platform"", ""Server-Side"", ""Data management""]",0,0,0,"{""JavaScript"": 1}"
PMTiles,Standards,Trial,https://docs.protomaps.com/pmtiles/,1,Single-file vector tile delivery with easy CDN distribution.,"[""Web-Tools"", ""Cartography and visualisation"", ""Data management""]",0,0,0,{}
GeoZarr,Standards,Assess,https://github.com/zarr-developers/geozarr-spec,1,Emerging chunked format for multidimensional geospatial arrays.,"[""Data Repository"", ""Pangeo"", ""Data management""]",0,0,0,{}
Vendor-Locked Metadata Schemas,Standards,Hold,https://en.wikipedia.org/wiki/Vendor_lock-in,-1,Avoid when possible to reduce migration cost and integration risk.,"[""Data management"", ""Platform""]",0,0,0,{}
